"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045806","negative regulation of endocytosis","11/1007","73/28928",0.150684931506849,4.3287127096625,5.40789379212545,4.25683598117493e-05,0.00197785212532739,0.00160066990403245,"Cd47/Picalm/Ank3/Dlg4/Itgav/Dysf/Tsc2/Scamp5/Pacsin2/Snph/Atg7",11
"GO:0098900","regulation of action potential","11/1007","73/28928",0.150684931506849,4.3287127096625,5.40789379212545,4.25683598117493e-05,0.00197785212532739,0.00160066990403245,"Camk2d/Ank3/Scn9a/Bin1/Kcnq2/Flna/Rnf207/Cacna1c/Cacnb3/Tmem161b/Foxp1",11
"GO:0099504","synaptic vesicle cycle","23/1007","261/28928",0.0881226053639847,2.53149029589806,4.72002532159536,4.7681429875473e-05,0.00219509555151489,0.00177648436947924,"Ap3d1/Rimbp2/Picalm/Dnm1l/Trim9/Unc13a/Bin1/Synj1/Cask/Mff/Ap3s1/Snap23/Gripap1/Scrib/Clcn3/Dnajc6/Scamp5/Dgkq/Bltp1/Kcnc3/Sgip1/Atg7/Rims2",23
"GO:0071826","protein-RNA complex organization","19/1007","193/28928",0.0984455958549223,2.82803793137159,4.83903992737228,4.83716669894498e-05,0.00220662749957326,0.00178581714110332,"Srsf6/Lsm2/Srpk2/Gemin8/Puf60/Sf3b1/Dhx9/Ythdc1/Eif3h/Snrpd1/Luc7l2/Mettl17/Prpf39/Ddx46/Prpf4b/Ago4/Mbnl1/Klc1/Rsrp1",19
"GO:0044839","cell cycle G2/M phase transition","17/1007","161/28928",0.105590062111801,3.03327638209552,4.91318385598578,4.94892997296259e-05,0.00223727302741678,0.00181061847659456,"Abraxas1/Camk2d/Ush1c/Nes/Akap8l/Cdk5rap3/Cdk2/Cdk4/Nabp1/Nae1/Macroh2a1/Miip/Brsk2/Ctc1/Orc1/Bard1/Mbd4",17
"GO:1904951","positive regulation of establishment of protein localization","29/1007","372/28928",0.0779569892473118,2.23946354016508,4.5693822278633,5.14364166826971e-05,0.00230453516887298,0.00186505352971659,"Sh3glb1/Pla2g6/Ank3/Mief2/Gipr/Tcaf1/Myo18a/Abat/Hpca/Isl1/Rapgef3/Dnm1l/Cask/Mff/Flna/Zfp384/Pparg/Dctn1/Aacs/Ppid/Cib1/Atp13a2/Gpld1/Xpo4/Cacna1c/Asph/Cacnb3/Prpf4b/Atg7",29
"GO:0090150","establishment of protein localization to membrane","24/1007","281/28928",0.0854092526690391,2.45354405284008,4.64989057918473,5.43136634660268e-05,0.00239420645665568,0.00193762423900854,"Emc8/Ank3/Mief2/Mapk10/Tcaf1/Epb41l1/Hpca/Zdhhc3/Wnk1/Pikfyve/Macf1/Mff/Emc10/Dmtn/Snap23/Gripap1/Scrib/Sec61a2/Zdhhc1/Tsc2/Cib1/Sys1/Agk/Cacnb3",24
"GO:0043954","cellular component maintenance","13/1007","102/28928",0.127450980392157,3.66127304943825,5.11326474511214,5.4392095667347e-05,0.00239420645665568,0.00193762423900854,"Dgkz/Hspa8/L1cam/Rimbp2/Mtss1/Syngap1/Shank1/Camsap3/Plxna4/Cttn/Grin1/Epb41l3/Rims2",13
"GO:1902414","protein localization to cell junction","16/1007","147/28928",0.108843537414966,3.12673867958305,4.90931395111621,5.6626384100835e-05,0.00247087996015643,0.00199967587973475,"Mapt/Dlg3/Dlg4/Mapk10/Tnik/Epb41l1/Shank1/Nrxn3/Mpp7/Flna/Snap23/Gripap1/Actn4/Scrib/Grin1/Klc1",16
"GO:0048675","axon extension","15/1007","132/28928",0.113636363636364,3.26442177484879,4.95198310556309,5.82553247579036e-05,0.00251466674899907,0.00203511239907668,"L1cam/Mapt/Map2/Auts2/Sema6c/Macf1/Plxna4/Ptprs/Arhgap4/Cttn/Plxna3/Clasp2/Adnp/Trim46/Ndel1",15
"GO:0045786","negative regulation of cell cycle","31/1007","413/28928",0.0750605326876513,2.1562572885684,4.49462817617087,5.86838181531193e-05,0.00251466674899907,0.00203511239907668,"Dgkz/Timeless/Abraxas1/Pidd1/Susd2/Ezh2/Cdk5rap3/Kntc1/Tom1l2/Nme6/Nabp1/Ythdc2/Cdk5rap2/Nek1/Nae1/Macroh2a1/Scrib/Miip/Brsk2/Zfp207/Kat2a/Hsf1/Trp53bp1/Tnfaip3/Orc1/Bard1/Usp44/Prpf4b/Mbd4/Mdm1/Clock",31
"GO:0031111","negative regulation of microtubule polymerization or depolymerization","9/1007","51/28928",0.176470588235294,5.06945499152988,5.52390562204106,5.91332555563752e-05,0.00251466674899907,0.00203511239907668,"Eml2/Map2/Camsap3/Clasp2/Bbof1/Cib1/Ttbk2/Eml4/Inpp5j",9
"GO:0032386","regulation of intracellular transport","25/1007","301/28928",0.0830564784053156,2.38595611450742,4.59034953439819,6.04534195366995e-05,0.00253839482148365,0.00205431545830461,"Mapt/Nf1/Map2/Sh3glb1/Akap8l/Pkig/Rapgef3/Wnk1/Dhx9/Vps11/Akap1/Flna/Gripap1/Dctn1/Chmp3/Thoc2/Gcc2/Atp13a2/Xpo4/Asph/Bard1/Prpf4b/Trim46/Nf2/Ndel1",25
"GO:0060155","platelet dense granule organization","6/1007","21/28928",0.285714285714286,8.20768903390552,6.27487568535337,6.07029451132001e-05,0.00253839482148365,0.00205431545830461,"Ap3d1/Hps1/Hps4/Abca1/Hps3/Ap3s1",6
"GO:0009314","response to radiation","34/1007","474/28928",0.0717299578059072,2.06058015830117,4.42142185818303,6.49984477137034e-05,0.00269555545973028,0.00218150510029985,"Rad51ap1/Abraxas1/Nf1/Deaf1/Usp1/Mapk10/Bak1/Fos/Bmf/Syngap1/Primpol/Rev1/Xpa/Nabp1/Dbh/Nek1/Rpgr/Nptn/Pparg/Hsf1/Idua/Ppid/Trp53bp1/Creb1/Dclre1c/Cacna1c/Bard1/Cep250/Grin1/Mbd4/Chrd/Ercc8/Brat1/Clock",34
"GO:1902904","negative regulation of supramolecular fiber organization","18/1007","181/28928",0.0994475138121547,2.85681993997816,4.75897872145633,6.63766618019555e-05,0.0027301482698542,0.00220950095972342,"Eml2/Hspa8/Map2/Ppfia1/Ssh3/Shank1/Kank3/Camsap3/Cyrib/Dmtn/Clasp2/Bbof1/Cib1/Ttbk2/Eml4/Evl/Inpp5j/Sptan1",18
"GO:0031623","receptor internalization","17/1007","165/28928",0.103030303030303,2.95974240919623,4.79429574921971,6.74512581592448e-05,0.00275179197921212,0.00222701715000741,"Myo6/Picalm/Nrg1/Ache/Dlg4/Hpca/Usp46/Sh3glb2/Gria2/Synj1/Numb/Sirt2/Scrib/Iqsec1/Calcrl/Scyl2/Syt17",17
"GO:0061387","regulation of extent of cell growth","14/1007","119/28928",0.117647058823529,3.37963666101992,4.93993220505401,6.96433446109174e-05,0.00279576242606067,0.00226260230323301,"L1cam/Mapt/Map2/Sema6c/Macf1/Plxna4/Ptprs/Arhgap4/Cttn/Plxna3/Clasp2/Adnp/Trim46/Ndel1",14
"GO:0070646","protein modification by small protein removal","14/1007","119/28928",0.117647058823529,3.37963666101992,4.93993220505401,6.96433446109174e-05,0.00279576242606067,0.00226260230323301,"Usp1/Senp7/Usp48/Usp46/Usp37/Usp34/Bap1/Usp40/Usp42/Josd2/Tnfaip3/Usp44/Otud7b/Senp8",14
