ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
390	1097,1107,1070	0,0,6	890,1173,1137	1,0,16	298	149
391	1189,1133,1179	0,0,0	1015,1391,1344	0,0,1	298	149
392	47,53,35	4231,4140,3832	28,45,47	2705,3180,3635	164	149
394	545,467,468	530,469,418	298,311,410	249,241,330	152	149
395	1107,1039,985	3,2,1	1024,1029,1232	2,0,4	298	149
397	6349,6834,7323	2,0,5	6984,7559,7694	5,2,0	298	149
399	84,111,90	1,1,2	96,98,141	6,19,0	214	149
400	292,307,253	935,828,868	247,305,266	782,753,921	298	149
401	167,121,102	0,4,6	90,135,94	1,0,0	298	149
402	0,5,0	36,46,49	5,0,0	46,91,46	185	149
403	9,5,5	434,520,442	8,2,5	561,775,721	202	149
404	478,424,478	1,0,0	295,343,350	0,0,0	298	149
405	0,0,1	0,2,0	3,0,3	0,0,0	152	149
407	9,4,9	5,8,2	62,31,52	16,32,26	152	149
411	4,2,3	1196,1222,1276	2,9,0	1376,1593,1536	169	149
412	13,10,12	0,0,2	43,38,25	2,4,0	201	149
413	392,376,430	3,0,1	656,708,632	0,3,3	152	149
415	641,698,706	1,0,0	257,357,304	0,0,0	298	149
416	350,407,355	77,94,54	191,266,253	29,33,41	154	149
417	33,38,43	243,254,279	27,38,18	154,132,161	210	149
418	3086,3214,3042	18,7,6	3471,4621,3861	32,31,28	298	149
419	109,118,110	0,0,0	52,98,77	0,0,1	298	149
420	3974,4536,4383	0,4,0	3875,4978,4726	3,1,1	155	149
421	54,49,51	845,931,878	28,43,32	900,1143,1226	298	149
422	17,19,13	80,93,94	9,18,4	105,142,108	164	149
423	88,97,98	6,9,10	136,193,161	7,14,29	153	149
427	1553,1621,1594	31,45,40	1126,1613,1405	20,37,17	298	149
428	644,689,650	2,7,0	389,589,549	0,0,3	298	149
429	1473,1532,1571	0,3,0	1080,1497,1536	0,0,0	264	149
430	67,50,53	1,4,0	20,30,52	2,7,0	154	149
431	336,238,310	125,126,125	287,384,372	96,127,160	178	149
432	70,62,63	56,55,53	87,91,99	71,70,86	207	149
433	45,52,28	299,320,363	43,45,64	496,734,602	172	149
434	334,379,382	7,0,0	430,633,593	6,10,15	239	149
435	328,357,309	0,0,1	383,541,512	2,0,0	298	149
436	6,1,5	85,107,121	5,12,9	138,208,163	163	149
441	345,265,248	0,5,2	441,631,540	1,7,1	154	149
443	237,244,250	103,86,96	160,212,230	54,82,96	298	149
444	189,197,165	86,95,77	158,209,168	72,117,71	155	149
445	134,97,143	267,240,195	104,160,153	180,170,181	162	149
446	98,114,118	0,0,0	167,175,208	0,2,0	153	149
447	296,286,277	4,0,0	281,384,350	0,0,0	298	149
453	26,65,31	0,2,0	31,61,73	0,0,3	298	149
454	147,147,153	0,0,0	173,171,227	0,0,4	298	149
455	158,175,166	0,0,0	179,174,248	0,0,1	298	149
456	18,34,17	0,0,0	26,25,32	2,0,0	298	149
458	27,33,20	0,0,0	29,32,35	0,0,3	249	149
459	207,220,229	8,11,10	197,232,254	13,6,10	298	149
460	300,271,321	4,8,7	508,712,621	3,6,4	223	149
461	162,120,172	0,0,0	211,300,272	0,0,2	298	149
462	287,287,295	1,0,1	283,416,409	1,4,0	225	149
463	267,244,275	0,0,0	352,509,421	0,4,0	298	149
464	266,285,331	0,2,0	360,479,459	0,1,0	279	149
465	270,279,322	0,0,0	375,494,509	2,1,0	152	149
466	16,14,14	2,3,6	17,29,19	5,10,4	173	149
467	1899,2045,1858	0,0,0	2116,2463,2950	2,0,0	298	149
468	17,21,30	22,39,61	20,38,35	81,92,97	211	149
469	645,614,628	0,0,2	1014,1458,1375	0,1,2	291	149
470	275,320,311	2,3,10	127,198,160	0,1,3	298	149
471	1,3,5	284,321,295	2,12,4	365,449,449	166	149
472	30,29,19	117,159,139	17,28,15	154,196,162	197	149
474	236,218,234	1,1,1	299,303,350	4,5,0	174	149
475	160,170,119	0,0,0	107,149,131	0,2,0	202	149
480	965,1036,1070	114,112,124	957,1058,1156	136,178,147	152	149
481	151,156,134	21,13,21	214,280,275	62,58,46	152	149
482	16,24,23	588,606,523	36,23,35	546,548,727	244	149
483	2,1,0	672,675,611	1,5,8	583,715,784	163	149
484	184,209,223	2,4,3	172,233,197	3,0,5	180	149
485	1030,1161,1020	2,4,3	999,1152,1252	3,0,5	221	149
486	323,334,359	2,4,3	290,370,335	3,0,5	252	149
487	852,953,798	6,1,1	829,921,1066	2,2,11	190	149
488	145,126,137	6,1,1	120,139,149	2,2,11	221	149
489	2,8,9	709,835,670	5,8,5	714,790,922	180	149
490	336,339,379	0,0,2	305,377,348	1,0,0	221	149
491	323,334,356	0,0,2	288,369,334	1,0,0	252	149
492	2,8,6	15,13,29	3,7,4	20,15,18	180	149
493	38,18,25	820,950,863	49,40,78	1017,1219,1171	166	149
494	7,7,4	29,30,22	6,6,5	23,21,20	175	149
495	1188,1248,1225	0,0,1	1291,1912,1631	0,0,0	298	149
496	64,41,50	0,1,0	49,48,59	0,2,0	259	149
497	623,680,696	0,0,0	687,748,759	1,0,0	295	149
498	11,32,38	35,20,23	19,19,26	14,37,31	152	149
499	59,51,58	697,649,631	60,71,68	640,787,814	186	149
500	296,266,233	327,367,323	332,383,412	366,353,382	152	149
501	68,61,62	0,0,5	100,88,78	3,5,2	154	149
502	563,663,526	24,20,31	647,721,757	22,32,30	154	149
503	140,161,137	4,17,18	138,185,134	20,22,12	175	149
504	124,144,123	29,43,41	124,177,188	19,51,45	152	149
505	209,260,219	20,24,16	313,384,336	24,12,11	242	149
506	810,919,917	4,1,0	1039,1347,1379	0,0,1	158	149
507	125,178,197	0,0,2	134,176,177	0,0,2	298	149
508	68,57,62	1,5,2	60,67,64	5,6,5	153	149
510	4,5,2	1,2,0	4,5,4	0,0,2	153	149
511	142,147,133	53,40,42	191,236,256	53,70,36	235	149
512	4,4,0	7,5,4	3,2,3	2,1,0	173	149
522	1,0,0	0,0,0	0,0,0	0,1,2	167	149
523	0,0,0	0,1,0	0,5,1	0,0,0	167	149
524	13,27,10	88,125,184	9,7,26	53,106,96	167	149
531	347,345,301	79,76,40	309,321,415	38,116,101	222	149
535	13,25,13	0,0,0	10,22,13	2,4,1	173	149
536	0,2,7	0,1,0	1,0,0	0,1,0	154	149
537	29,41,22	2,0,0	11,12,16	0,0,2	172	149
538	7,5,5	172,168,239	8,17,5	243,264,217	152	149
539	15,24,13	427,439,394	18,18,18	390,504,384	152	149
540	77,81,38	3,10,0	43,14,79	13,1,1	298	149
541	2,0,7	0,0,0	11,5,15	0,2,1	175	149
542	8,1,2	0,5,4	2,0,3	8,3,10	298	149
543	0,0,1	0,2,0	0,0,1	5,2,0	152	149
545	1,4,7	44,58,64	2,5,19	83,130,109	165	149
546	32,51,36	0,0,0	30,94,28	5,1,0	155	149
547	97,151,108	1,0,0	80,99,129	0,0,0	164	149
553	66,58,64	0,0,0	43,59,53	0,1,0	298	149
554	87,84,87	0,0,0	104,104,110	1,0,2	152	149
555	107,135,143	0,0,1	155,187,172	0,0,0	155	149
556	2,5,2	0,0,0	9,6,10	0,1,0	164	149
558	650,657,749	0,1,6	676,765,970	3,0,3	260	149
560	278,224,291	6,3,5	256,282,370	9,3,16	152	149
562	594,670,665	1,3,1	785,1011,960	6,0,3	294	149
563	881,788,802	7,12,19	746,857,963	12,26,8	270	149
564	8,4,2	78,90,102	4,15,8	187,194,163	298	149
565	494,513,512	0,0,0	391,453,515	0,4,0	298	149
566	362,395,409	129,135,160	294,364,389	131,230,111	215	149
567	595,549,647	1,1,7	440,617,518	0,1,0	298	149
568	5171,5649,6104	18,4,18	5400,6202,6787	7,7,9	170	149
578	638,604,600	14,27,16	529,460,571	21,18,27	234	149
579	4043,3991,4171	1199,799,989	3030,3230,3699	874,791,808	201	149
580	184,156,172	0,2,0	184,162,201	2,4,5	154	149
581	5,21,12	0,0,0	31,14,6	4,0,0	152	149
584	2,1,0	2,5,0	0,0,0	0,0,2	165	149
585	1,4,1	201,235,182	4,4,3	208,275,269	165	149
587	27,28,29	3,2,0	24,51,58	1,5,4	251	149
588	46,40,51	3,2,0	39,74,87	1,5,4	260	149
589	21,17,26	2,5,4	16,24,29	1,1,0	158	149
