"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000030894","Tpp1",1,"A5SS",0.207
"ENSMUSG00000030924","Rexo5",1,"A5SS",0.183
"ENSMUSG00000030929","Eri2",1,"A3SS",0.118
"ENSMUSG00000031105","Slc25a14",2,"SE",0.249
"ENSMUSG00000031161","Hdac6",1,"SE",0.1
"ENSMUSG00000031167","Rbm3",1,"A3SS",0.137
"ENSMUSG00000031232","Magt1",1,"RI",0.156
"ENSMUSG00000031391","L1cam",2,"SE,MXE",0.15
"ENSMUSG00000031592","Pcm1",1,"SE",0.1
"ENSMUSG00000031728","Zfp821",1,"SE",0.155
"ENSMUSG00000031736","Crnde",7,"A3SS,MXE",0.231
"ENSMUSG00000031819","Emc8",1,"SE",0.271
"ENSMUSG00000031848","Lsm4",1,"SE",0.14
"ENSMUSG00000031864","Ints10",1,"SE",0.189
"ENSMUSG00000031865","Dctn1",2,"SE",0.142
"ENSMUSG00000031872","Bean1",1,"SE",0.125
"ENSMUSG00000031885","Cbfb",2,"MXE",0.162
"ENSMUSG00000031921","Terf2",1,"SE",0.189
"ENSMUSG00000032127","Vps11",1,"RI",0.151
"ENSMUSG00000032178","Ilf3",1,"A3SS",0.11
"ENSMUSG00000032182","Yipf2",1,"SE",0.14
"ENSMUSG00000032185","Carm1",1,"SE",0.613
"ENSMUSG00000032217","Rnf111",1,"A3SS",0.125
"ENSMUSG00000032258","Lca5",2,"SE",0.418
"ENSMUSG00000032294","Pkm",1,"SE",0.489
"ENSMUSG00000032316","Clk3",1,"RI",0.146
"ENSMUSG00000032405","Pias1",1,"SE",0.18
"ENSMUSG00000032478","Nme6",1,"SE",0.152
"ENSMUSG00000032525","Nktr",2,"A5SS,RI",0.229
"ENSMUSG00000032534","Cep63",1,"SE",0.111
"ENSMUSG00000032540","Abhd5",1,"SE",0.141
"ENSMUSG00000032624","Eml4",2,"SE",0.266
"ENSMUSG00000032633","Flcn",2,"A3SS,MXE",0.15
"ENSMUSG00000032637","Atxn2l",3,"SE",0.213
"ENSMUSG00000032688","Malt1",1,"SE",0.447
"ENSMUSG00000032966","Fkbp1a",1,"A3SS",0.133
"ENSMUSG00000033088","Triobp",2,"SE,A5SS",0.316
"ENSMUSG00000033177","Tmprss7",1,"SE",0.111
"ENSMUSG00000033213","AA467197",1,"SE",0.285
"ENSMUSG00000033417","Cacul1",1,"SE",0.104
"ENSMUSG00000033486","Catsper2",2,"SE,MXE",0.502
"ENSMUSG00000033809","Alg3",2,"SE,MXE",0.198
"ENSMUSG00000033987","Dnah17",1,"SE",0.389
"ENSMUSG00000034175","Rhbdd3",1,"A3SS",0.102
"ENSMUSG00000034211","Mrps17",1,"SE",0.1
"ENSMUSG00000034518","Hmgxb4",1,"SE",0.172
"ENSMUSG00000034602","Mon2",1,"SE",0.123
"ENSMUSG00000034656","Cacna1a",1,"MXE",0.143
"ENSMUSG00000034757","Tmub2",1,"SE",0.11
"ENSMUSG00000034780","B3galt1",1,"SE",0.169
"ENSMUSG00000034902","Pip5k1c",1,"SE",0.105
"ENSMUSG00000035150","Eif2s3x",1,"SE",0.667
"ENSMUSG00000035206","Sppl2b",1,"A3SS",0.119
"ENSMUSG00000035227","Spcs2",1,"SE",0.255
"ENSMUSG00000035278","Plekhj1",1,"RI",0.186
"ENSMUSG00000035476","Tab3",3,"SE,A3SS",0.205
"ENSMUSG00000035597","Prpf39",4,"SE,A5SS",0.177
"ENSMUSG00000035629","Rubcn",1,"SE",0.184
"ENSMUSG00000035642","Aamdc",1,"MXE",0.227
"ENSMUSG00000036009","Mettl25",1,"SE",0.158
"ENSMUSG00000036097","Slf2",1,"A5SS",0.279
"ENSMUSG00000036529","Sbf1",1,"SE",0.106
"ENSMUSG00000036775","Decr2",1,"SE",0.473
"ENSMUSG00000036873","2410004B18Rik",1,"SE",0.129
"ENSMUSG00000037029","Zfp146",1,"SE",0.136
"ENSMUSG00000037148","Arhgap10",1,"SE",0.11
"ENSMUSG00000037151","Lrrc20",1,"SE",0.153
"ENSMUSG00000037174","Elf2",1,"A3SS",0.104
"ENSMUSG00000037266","Rsrp1",1,"A3SS",0.101
"ENSMUSG00000037270","Bltp1",1,"SE",0.176
"ENSMUSG00000037337","Map4k1",1,"MXE",0.106
"ENSMUSG00000037339","Fam53a",1,"A3SS",0.154
"ENSMUSG00000037437","Adam32",1,"SE",0.8
"ENSMUSG00000037475","Thoc2",2,"A3SS,RI",0.214
"ENSMUSG00000037486","Asxl2",1,"MXE",0.148
"ENSMUSG00000037519","Ppfia1",2,"SE",0.354
"ENSMUSG00000037716","Ccdc33",1,"SE",0.179
"ENSMUSG00000037720","Tmem33",1,"RI",0.113
"ENSMUSG00000037761","Actr5",1,"SE",0.649
"ENSMUSG00000037876","Jmjd1c",1,"SE",0.105
"ENSMUSG00000038056","Kmt2c",1,"SE",0.161
"ENSMUSG00000038215","Cep44",1,"SE",0.139
"ENSMUSG00000038248","Sobp",1,"SE",0.104
"ENSMUSG00000038271","Iffo1",4,"SE,A3SS",0.302
"ENSMUSG00000038542","Pcid2",1,"SE",0.284
"ENSMUSG00000038619","Ensa",1,"RI",0.109
"ENSMUSG00000038781","Stap2",1,"RI",0.25
"ENSMUSG00000039069","Mtg2",1,"SE",0.119
"ENSMUSG00000039126","Prune2",1,"SE",0.103
"ENSMUSG00000039233","Tbce",2,"SE",0.195
"ENSMUSG00000039275","Foxk2",1,"SE",0.304
"ENSMUSG00000039286","Fndc3b",1,"SE",0.355
"ENSMUSG00000039307","Hexdc",1,"A3SS",0.116
"ENSMUSG00000039354","Smarcal1",1,"MXE",0.115
"ENSMUSG00000039470","Zdhhc2",1,"SE",0.345
"ENSMUSG00000039585","Myo9a",2,"SE",0.234
"ENSMUSG00000039671","Zmynd8",1,"SE",0.103
"ENSMUSG00000039844","Rapgef1",3,"SE,MXE",0.268
"ENSMUSG00000039958","Etfbkmt",1,"SE",0.157
"ENSMUSG00000040225","Prrc2c",1,"SE",0.1
